"Cód.";"Município";"Abacate";"Abacaxi";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"5200050";"Abadia de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1208";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"353";"-";"-";"-";"-";"-";"204";"80";"-";"-";"-";"-";"1035";"-";"-";"-";"-";"-";"-";"-";"195";"168";"-";"-";"-";"-";"-";"-";"-"
"5200100";"Abadiânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"525";"-";"-";"105";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1215";"78";"-";"-";"-";"-";"-";"2635";"-";"-";"-";"-";"-";"9500";"-";"-";"-";"-";"-";"-";"-";"23717";"2475";"980";"470";"-";"-";"-";"-";"-"
"5200134";"Acreúna (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"2160000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"195";"-";"-";"-";"-";"-";"110400";"-";"-";"-";"-";"-";"-";"-";"126960";"75900";"-";"19320";"-";"-";"-";"-";"-"
"5200159";"Adelândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"140";"-";"-";"2200";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"400";"-";"-";"-";"-";"-";"-";"-";"450";"-";"-";"-";"-";"-";"-";"-";"-"
"5200175";"Água Fria de Goiás (GO)";"-";"-";"-";"...";"-";"-";"2929";"-";"-";"-";"-";"832";"-";"9060";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"2250";"-";"-";"-";"-";"-";"-";"-";"-";"14298";"-";"-";"-";"-";"-";"-";"12800";"-";"-";"-";"-";"-";"-";"1125";"-";"-";"-";"-";"-";"140634";"-";"-";"-";"-";"-";"-";"-";"115200";"4500";"570";"10832";"1050";"-";"-";"-";"-"
"5200209";"Água Limpa (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"474";"-";"-";"-";"-";"-";"-";"-";"349";"-";"-";"-";"-";"-";"-";"-";"-"
"5200258";"Águas Lindas de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"156";"-";"-";"-";"-";"-";"-";"-";"-";"-";"780";"-";"26";"-";"-";"-";"1770";"-";"-";"-";"-";"-";"-";"-";"1368";"440";"-";"-";"-";"-";"-";"-";"-"
"5200308";"Alexânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"448";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-";"1760";"-";"-";"-";"-";"-";"20520";"-";"-";"-";"-";"-";"-";"-";"17658";"3150";"750";"12350";"-";"-";"-";"-";"-"
"5200506";"Aloândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"61";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135";"-";"-";"-";"-";"-";"3538";"-";"-";"-";"-";"-";"-";"-";"7000";"1850";"-";"-";"-";"-";"-";"-";"-"
"5200555";"Alto Horizonte (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"120";"-";"-";"-";"...";"-";"-";"-";"-";"...";"288";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"228";"-";"-";"-";"-";"-";"612";"-";"120";"-";"-";"-";"-";"-";"1160";"-";"-";"-";"-";"-";"-";"-";"-"
